#name,type,value
E,fx64c,2.7182818284590452354
LOG2E,fx64c,1.4426950408889634074
LOG10E,fx64c,0.43429448190325182765
LN2,fx64c,0.69314718055994530942
LN10,fx64c,2.30258509299404568402
PI,fx64c,3.14159265358979323846
TWOPI,fx64c,6.28318530717958647692
PI_2,fx64c,1.57079632679489661923
PI_4,fx64c,0.78539816339744830962
3PI_4,fx64c,2.3561944901923448370
SQRTPI,fx64c,1.77245385090551602793
1_PI,fx64c,0.31830988618379067154
2_PI,fx64c,0.63661977236758134308
2_SQRTPI,fx64c,1.12837916709551257390
SQRT2,fx64c,1.41421356237309504880
SQRT1_2,fx64c,0.70710678118654752440
SQRT3,fx64c,1.73205080756887719000
SQRT1_3,fx64c,0.57735026918962576450914878050196
IVLN10,fx64c,0.43429448190325182765
LOG2_E,fx64c,0.693147180559945309417
INVLN2,fx64c,1.4426950408889633870
1_360,fx64c,0.0027777777777777777778
TWOPI_360,fx64c,0.0174532925199432957692
360_TWOPI,fx64c,57.295779513082320876846
65536_TWOPI,fx64c,10430.378350470452724958342593503
65536_360,fx64c,182.04444444444444444444444444444
TWOPI_65536,fx64c,0.0000958737992428525768572998046875
360_65536,fx64c,0.0054931640625
1_100,fx64c,0.01000000000000000000
2_100,fx64c,0.02000000000000000000
3_100,fx64c,0.03000000000000000000
4_100,fx64c,0.04000000000000000000
5_100,fx64c,0.05000000000000000000
6_100,fx64c,0.06000000000000000000
7_100,fx64c,0.07000000000000000000
8_100,fx64c,0.08000000000000000000
9_100,fx64c,0.09000000000000000000
10_100,fx64c,0.10000000000000000000
11_100,fx64c,0.11000000000000000000
12_100,fx64c,0.12000000000000000000
13_100,fx64c,0.13000000000000000000
14_100,fx64c,0.14000000000000000000
15_100,fx64c,0.15000000000000000000
16_100,fx64c,0.16000000000000000000
17_100,fx64c,0.17000000000000000000
18_100,fx64c,0.18000000000000000000
19_100,fx64c,0.19000000000000000000
20_100,fx64c,0.20000000000000000000
21_100,fx64c,0.21000000000000000000
22_100,fx64c,0.22000000000000000000
23_100,fx64c,0.23000000000000000000
24_100,fx64c,0.24000000000000000000
25_100,fx64c,0.25000000000000000000
26_100,fx64c,0.26000000000000000000
27_100,fx64c,0.27000000000000000000
28_100,fx64c,0.28000000000000000000
29_100,fx64c,0.29000000000000000000
30_100,fx64c,0.30000000000000000000
31_100,fx64c,0.31000000000000000000
32_100,fx64c,0.32000000000000000000
33_100,fx64c,0.33000000000000000000
34_100,fx64c,0.34000000000000000000
35_100,fx64c,0.35000000000000000000
36_100,fx64c,0.36000000000000000000
37_100,fx64c,0.37000000000000000000
38_100,fx64c,0.38000000000000000000
39_100,fx64c,0.39000000000000000000
40_100,fx64c,0.40000000000000000000
41_100,fx64c,0.41000000000000000000
42_100,fx64c,0.42000000000000000000
